record_id,source_index,name,source,old_display_name,repaired_display_name,old_diameter_km,rendered_diameter_raw,repaired_diameter_km,diameter_changed,diameter_source_verified,coordinate_status,coordinate_source_distance_km,analytical_include,duplicate_of_record_id,duplicate_resolution_note
astro_0000,0,Bowers,Wikipedia possible impact structures,Bowers,Bowers,100.0,100,100.0,False,True,verified_within_5_km,0.0,True,,
astro_0001,1,Burckle,Wikipedia possible impact structures,Burckle,Burckle,30.0,30?,30.0,False,False,verified_within_5_km,0.0,True,,
astro_0002,2,"Catalina structures (Navy, Catalina, Emery Knoll)",Wikipedia possible impact structures,"Catalina structures (Navy, Catalina, Emery Knoll): Catalina","Catalina structures (Navy, Catalina, Emery Knoll)",32.0,"12, 32, 37",32.0,False,False,verified_by_coordinate_alias_within_5_km,0.0,True,,
astro_0003,3,Eltanin,Wikipedia possible impact structures,Eltanin,Eltanin,35.0,35?,35.0,False,False,verified_within_5_km,0.042003394633074155,True,,
astro_0004,4,Falkland Plateau anomaly,Wikipedia possible impact structures,Falkland Plateau anomaly: Malvinas,Falkland Plateau anomaly,275.0,250-300,275.0,False,False,verified_within_5_km,0.0,True,,
astro_0005,5,Fried Egg structure,Wikipedia possible impact structures,Fried Egg structure: Fried Egg,Fried Egg structure,6.0,6,6.0,False,True,verified_within_5_km,0.0,True,,
astro_0006,6,Mount Ashmore dome,Wikipedia possible impact structures,Mount Ashmore dome,Mount Ashmore dome,50.0,>50,50.0,False,False,verified_within_5_km,0.0,True,,
astro_0007,7,Nadir,Wikipedia possible impact structures,Nadir,Nadir,8.5,≥8.5,8.5,False,False,verified_within_5_km,0.0,True,,
astro_0008,8,Ross,Wikipedia possible impact structures,Ross,Ross,600.0,600?,600.0,False,False,verified_within_5_km,0.0,True,,
astro_0009,9,Sakhalinka,Wikipedia possible impact structures,Sakhalinka,Sakhalinka,12.0,12,12.0,False,True,verified_within_5_km,0.0,True,,
astro_0010,10,Shiva,Wikipedia possible impact structures,Shiva,Shiva,500.0,500,500.0,False,True,verified_within_5_km,0.05105777909752047,True,,
astro_0011,11,Silverpit,Wikipedia possible impact structures,Silverpit,Silverpit,20.0,20,20.0,False,True,verified_within_5_km,0.037065026745121674,True,,
astro_0012,12,Tatarsky North,Wikipedia possible impact structures,Tatarsky North: Tatarsky1,Tatarsky North,14.0,14,14.0,False,True,verified_within_5_km,0.0004026651331500521,True,,
astro_0013,13,Tatarsky South,Wikipedia possible impact structures,Tatarsky South: Tatarsky2,Tatarsky South,20.0,20,20.0,False,True,verified_within_5_km,0.0003512431012393548,True,,
astro_0014,14,Wilkes Land 2,Wikipedia possible impact structures,Wilkes Land 2: Wilkes,Wilkes Land 2,480.0,480,480.0,False,True,verified_within_5_km,0.0,True,,
astro_0015,15,Talemzane,"Reimold & Koeberl (2014), Impact structures in Africa: A review, Journal of African Earth Sciences 93, Tables 2a–2b",Talemzane,Talemzane,1.75,1.75,1.75,False,False,pdf_source_preserved,,True,,
astro_0016,16,Bajada del Diablo,Wikipedia possible impact structures,Bajada del Diablo,Bajada del Diablo,40.0,40,40.0,False,True,verified_within_5_km,0.0459676058845841,True,,
astro_0017,17,Bajo Hondo,Wikipedia possible impact structures,Bajo Hondo,Bajo Hondo,3.9,3.9,3.9,False,True,source_has_no_coordinate,,True,,
astro_0018,18,General San Martín,Wikipedia possible impact structures,General San Martín: General San Martin,General San Martín,11.0,11,11.0,False,True,verified_within_5_km,0.0,True,,
astro_0019,19,La Dulce,Wikipedia possible impact structures,La Dulce,La Dulce,2.8,2.8,2.8,False,True,verified_within_5_km,0.0,True,,
astro_0020,20,Meseta de la Barda Negra,Wikipedia possible impact structures,Meseta de la Barda Negra: Barda Negra,Meseta de la Barda Negra,1.5,1.5,1.5,False,True,verified_within_5_km,0.046900162973071285,True,,
astro_0021,21,Acraman,Wikipedia confirmed impact structures,Acraman,Acraman,900.0,90,90.0,True,True,verified_within_5_km,0.03706502674441435,True,,
astro_0022,22,Amelia Creek,Wikipedia confirmed impact structures,Amelia Creek,Amelia Creek,200.0,20,20.0,True,True,verified_within_5_km,0.05072010154195816,True,,
astro_0023,23,Bedout,Wikipedia possible impact structures,Bedout,Bedout,250.0,250,250.0,False,True,verified_within_5_km,0.0,True,,
astro_0024,24,Cleanskin,Wikipedia confirmed impact structures,Cleanskin: Rochechouart,Cleanskin,15.0,15,15.0,False,True,verified_within_5_km,0.05112811294934722,True,,
astro_0025,25,Connolly Basin,Wikipedia confirmed impact structures,Connolly Basin: Rochechouart,Connolly Basin,9.0,9,9.0,False,True,verified_within_5_km,0.03706502674476801,True,,
astro_0026,26,Darwin Crater,Wikipedia possible impact structures,Darwin Crater,Darwin Crater,1.2,1.2,1.2,False,True,verified_within_5_km,0.0460973560130722,True,,
