geophysical_review_rank,review_tier,candidate_id,name,lon,lat,diameter_km,followup_score,rank,data_quality,domain,tid_artifact_risk,tid_direct_fraction,gravity_bouguer_ring_score,gravity_freeair_ring_score,gravity_consensus_percentile,magnetic_ring_score,magnetic_ring_score_stratified_percentile,sediment_ring_score,geology_independence,geology_boundary_coincidence,geology_boundary_crossings,geology_nearby_types
1,A_cross_layer,arc_0593,#579,-163.21620793710272,64.93493001950446,77.66204841078967,0.8382882342718209,4.0,1.0,land,0.0910031079322383,0.0010707151418298,0.480135360351099,0.437113775268062,0.8539823008849557,0.3641401952109305,0.6991150442477876,,1.0,0.0,0.0,
2,A_cross_layer,arc_0371,#359,-10.30120936034813,56.471477129112166,39.896920401375986,0.8152731983636461,6.0,1.0,ocean,0.0,1.0,0.4757977490197079,0.5516695525256728,1.0,0.2984888811236647,1.0,0.0353729488927071,1.0,0.0,0.0,
3,A_cross_layer,arc_0341,#327,-2.7460741490983502,57.22292188800545,17.396452299274493,0.8148767815230662,7.0,1.0,land,0.0,0.0,0.0322308056423581,0.0314561787821703,0.796875,0.0203745076842487,0.671875,,1.0,0.0,0.0,
4,A_cross_layer,arc_0370,#299,-11.11993802470171,57.431545892668886,60.21127188585729,0.8107907340327524,9.0,1.0,ocean,0.1510796495540423,0.9445889786126972,0.6480525591965234,0.7344527588666745,0.9166666666666667,0.3199802157476008,0.5833333333333334,0.1715344370350922,1.0,0.0,0.0,
5,A_cross_layer,arc_1103,#1099,-22.261479688280684,56.103943921022136,76.24834496492694,0.8090550556572494,10.0,1.0,ocean,0.1503434238302024,1.0,0.5302306070565299,0.8297992421320229,0.9166666666666667,0.342130098702854,0.75,0.1017095959448614,0.8078711815428803,0.1921288184571197,2.0,oceanic crust;passive margin
6,A_cross_layer,arc_1214,#1214,178.52377783324613,-22.03337539867558,134.73156175614304,0.8040393140766958,13.0,1.0,ocean,0.1880289108034164,0.0870009759724868,0.5035306449871794,0.5532900999448633,0.9387755102040816,0.2874947623818355,0.30612244897959184,0.2635309993707587,1.0,0.0,0.0,
7,A_cross_layer,arc_0522,#517,172.53415996633584,64.89129388081356,285.41872739785697,0.8035934962964545,14.0,1.0,land,0.0,0.0009209019861615,0.4152482512997239,0.4141283563246478,0.8157894736842105,0.2750898529797989,0.13157894736842105,0.0021574205784732,0.9565592587035452,0.0434407412964547,2.0,orogenic belt;volcanic arc
8,A_cross_layer,arc_0404,#398,-41.89770903396978,-11.177486899568022,115.8526080711042,0.8009896701927551,18.0,1.0,land,0.0,0.0,0.478213433548561,0.5810231429824907,0.8979591836734694,0.3961514836273384,0.7142857142857143,,1.0,0.0,0.0,
9,A_cross_layer,arc_0752,#737,160.91267383246316,22.64266814993074,373.1979165615363,0.8001151154040556,19.0,1.0,ocean,0.2190179483842549,0.4444230027016596,0.443726948136942,0.6018319412275883,0.8764705882352941,0.5075613147061246,0.9647058823529412,0.2508964478293371,1.0,0.0,0.0,
10,A_cross_layer,arc_0605,#592,-153.36086735654683,64.19981714167872,44.901273678746655,0.7997283841480101,20.0,1.0,land,0.0,0.0,0.3952655247162213,0.3116280554001098,0.9173228346456692,0.1800719294254025,0.5748031496062992,,1.0,0.0,0.0,accretionary complex;passive margin
