candidate_id,null_count,null_p_gravity_bouguer_ring_score,null_p_gravity_freeair_ring_score,null_p_magnetic_ring_score,null_p_tid_artifact_risk,observed_gravity_bouguer_ring_score,observed_gravity_freeair_ring_score,observed_magnetic_ring_score,observed_tid_artifact_risk
arc_0000,19,0.4,0.7,0.95,0.9,0.3359874363081009,0.29202607396300995,0.23971877795860402,0.23903287428017064
arc_0001,19,0.7,0.6,1.0,0.8,0.2899285306274224,0.3023189128515351,0.17637811646854862,0.31473819550438864
arc_0002,19,0.05,0.15,0.05,1.0,0.1252731624319557,0.0783333310573427,0.10515363887939222,0.0
arc_0003,19,0.5,0.55,0.35,1.0,0.2939669323805212,0.3403316146278122,0.3607062170170347,0.0
arc_0004,19,0.8,0.95,0.55,1.0,0.2640550835196742,0.22256209591069026,0.31810494953816354,0.0
arc_0005,19,0.8,0.4,0.45,1.0,0.2683904684385972,0.3264826313166307,0.33637965199240305,0.0
arc_0006,19,0.05,0.5,0.1,1.0,0.3767297896575513,0.30974540268741113,0.5085070610136428,0.0
arc_0007,19,0.45,0.1,0.9,1.0,0.3161710715572108,0.47434879439732297,0.21524089300029464,0.0
arc_0008,19,0.2,0.95,0.3,1.0,0.2918961535612139,0.14598702997562135,0.26426377485050084,0.0
arc_0009,19,0.55,0.45,0.55,1.0,0.178880710487178,0.20061640606608294,0.17860265558905591,0.0
arc_0010,19,0.4,0.15,0.45,1.0,0.1664212394718393,0.2694941932952184,0.16232777810353555,0.0
arc_0011,19,0.05,0.05,0.5,1.0,0.23995666108677,0.3138254538445275,0.11696696773912019,0.0
arc_0012,19,0.1,0.45,0.6,1.0,0.17566793363090055,0.11289657212740617,0.08649918093451497,0.0
arc_0013,19,0.25,0.3,1.0,0.05,0.25516566581771954,0.3607284370159295,0.1289320308314764,0.55
arc_0014,19,0.05,0.85,0.25,1.0,0.24626530157137871,0.08501335669488853,0.13960631229287818,0.0
arc_0015,19,0.45,0.05,0.2,0.05,0.046482246011720525,0.07219059761354746,0.04773363747394647,0.1944921828380475
arc_0016,19,0.05,0.3,0.15,1.0,0.499396924804937,0.39645004238134823,0.4845770620021213,0.0
arc_0017,19,0.95,0.05,0.45,1.0,0.005063187472967005,0.016910842924536037,0.009609626101936235,0.0
arc_0018,19,0.35,0.6,0.75,1.0,0.30002726477217845,0.2648322720539146,0.2731498962999358,0.0
arc_0019,19,0.35,0.9,0.7,1.0,0.32086385995936695,0.2516988462619206,0.2846961344209032,0.0
arc_0020,19,0.15,0.3,0.25,0.95,0.3531249622427236,0.34857489412322895,0.46309611757916835,0.18046126214218997
arc_0021,19,0.5,0.9,0.25,1.0,0.31639961416108536,0.22772416592345293,0.35743662482098,0.0
arc_0022,19,0.25,0.05,0.3,1.0,0.33432124930815105,0.5081696439617543,0.4117187165153974,0.0
arc_0023,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0024,19,0.05,0.25,0.05,1.0,0.13770890413944373,0.08295515048590696,0.06511875748109033,0.0
arc_0025,19,0.05,0.05,0.15,1.0,0.18352359504251078,0.20079680327533483,0.14762327265465772,0.0
arc_0026,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0027,19,0.5,0.4,0.1,1.0,0.017387781870702952,0.017497305598682875,0.034573197750195746,0.0
arc_0028,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0029,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0030,19,0.1,0.15,0.1,1.0,0.031253210276166385,0.030942583209626263,0.02585961643201632,0.0
arc_0031,19,0.3,0.05,0.8,1.0,0.01777428436726663,0.02751350066976406,0.014962807254299316,0.0
arc_0032,19,0.35,0.2,0.25,1.0,0.3207764292985751,0.3641916981915579,0.42041476771575764,0.0
arc_0033,19,0.35,0.15,0.65,1.0,0.30700013691803396,0.3981438746579843,0.26927310659516196,0.0
arc_0034,19,0.85,0.9,0.05,1.0,0.25405132277786496,0.2545757513696167,0.5398148463500757,0.0
arc_0035,19,0.45,0.85,0.35,1.0,0.3342159658806304,0.2489299165965269,0.3273600007121129,0.0
arc_0036,19,0.85,0.65,0.4,1.0,0.23320620339851728,0.254518523360312,0.3418783033566677,0.0
arc_0037,19,0.85,0.8,0.4,1.0,0.23358827209648855,0.25655790709564585,0.3058754834216619,0.0
arc_0038,19,0.6,0.45,0.85,1.0,0.273879532970111,0.27548099887407024,0.2282243521201399,0.0
arc_0039,19,0.9,0.65,0.5,1.0,0.08091486532731822,0.09827936109692317,0.09419484342868749,0.0
arc_0040,19,0.9,0.9,0.25,1.0,0.22367481309522963,0.21440120219124328,0.36891350824781777,0.0
arc_0041,19,0.15,0.1,0.4,1.0,0.3768282805434557,0.4411579263907276,0.5012430615443777,0.0
arc_0042,19,0.15,0.1,0.55,0.1,0.405735033357979,0.4753499334686793,0.4606227558676008,0.21692034296221444
arc_0043,19,0.05,0.45,0.25,1.0,0.02376200774793222,0.01195699791536724,0.018679852565396376,0.0
