candidate_id,regional_family_id,regional_family_member_count,overlapping_large_candidate,regional_context_flag,special_regional_case
arc_0371,regional_family_0001,2,False,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_0674,regional_family_0002,1,False,geographically isolated at configured scale,
arc_0687,regional_family_0003,1,False,geographically isolated at configured scale,
arc_1088,regional_family_0004,1,False,geographically isolated at configured scale,
arc_1105,regional_family_0005,1,False,geographically isolated at configured scale,
arc_0795,regional_family_0006,1,False,geographically isolated at configured scale,
arc_0437,regional_family_0007,1,False,geographically isolated at configured scale,
arc_0697,regional_family_0008,1,False,geographically isolated at configured scale,
arc_0605,regional_family_0009,4,False,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_0899,regional_family_0010,2,True,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_0892,regional_family_0011,1,False,geographically isolated at configured scale,
arc_0444,regional_family_0012,1,False,geographically isolated at configured scale,
arc_1214,regional_family_0013,1,False,geographically isolated at configured scale,
arc_0404,regional_family_0014,1,False,geographically isolated at configured scale,
arc_0370,regional_family_0001,2,False,geographic cluster; test shared tectonic/volcanic fabric and selection bias,North Atlantic / Anton Dohrn known volcanic control
arc_0896,regional_family_0010,2,True,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_1103,regional_family_0015,1,False,geographically isolated at configured scale,
arc_0547,regional_family_0009,4,False,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_0865,regional_family_0016,1,False,geographically isolated at configured scale,
arc_0232,regional_family_0017,1,False,geographically isolated at configured scale,
arc_0886,regional_family_0018,1,False,geographically isolated at configured scale,
arc_0852,regional_family_0019,1,False,geographically isolated at configured scale,
arc_0593,regional_family_0009,4,False,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_0576,regional_family_0009,4,False,geographic cluster; test shared tectonic/volcanic fabric and selection bias,
arc_0710,regional_family_0020,1,False,geographically isolated at configured scale,
