crater_id,lat,lon_e,diameter_km,diameter_sd_km,mapped_arc_fraction,rim_point_count,body,source_doi,catalogue_scope
00-1-000012,-52.6979,177.587,2491.87,63.3979,0.797656,1267,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000031,34.2595,342.856,1198.39,12.6831,0.255605,494,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000016,16.3974,59.4647,1114.52,17.746,0.185623,214,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000018,-1.39324,86.1165,954.724,7.55485,0.177839,172,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000000,-19.8304,264.757,940.96,21.3179,0.568712,8088,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000013,8.25292,28.416,907.122,36.8429,0.5101,17,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000030,-15.8284,34.7632,871.995,12.1677,0.346515,406,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000017,27.0221,22.8638,866.199,10.6553,0.204433,194,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000029,-25.9578,320.599,796.356,17.4751,0.0952986,182,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000027,51.1265,237.306,659.596,24.3362,0.0291177,79,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000014,-22.442,344.611,659.206,29.9805,0.805077,15,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000004,-49.1496,266.347,654.332,17.5097,0.545924,5933,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000028,-2.52891,52.8579,652.877,7.98545,0.0381772,50,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000007,26.8611,149.162,634.744,11.4685,0.615811,5186,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000006,18.5231,175.55,613.901,14.9925,0.621607,5143,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000002,57.0866,82.0995,599.778,21.579,0.492373,5199,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000003,1.96124,230.622,558.762,14.1819,0.595221,4341,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000005,-35.6024,208.486,505.312,12.8472,0.557812,4433,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000019,-4.78646,291.203,463.755,5.20145,0.164592,165,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000032,-51.6705,23.5685,444.257,1.47235,0.103929,50,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000033,-17.3838,295.191,438.1,0.697193,0.0275706,61,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000021,13.9617,201.639,429.904,5.64043,0.0868529,117,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000008,-4.38375,202.528,429.664,15.636,0.741016,4076,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000015,26.2091,147.494,423.869,8.25326,0.85748,661,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
