name,certainty,main_ring_diameter_km,main_ring_lat,main_ring_lon_e,intermediate_ring_diameter_km,intermediate_ring_lat,intermediate_ring_lon_e,inner_ring_diameter_km,inner_ring_lat,inner_ring_lon_e,inner_depression_diameter_km,inner_depression_lat,inner_depression_lon_e,object,diameter_km,ring_diameters_km,ring_ratios,number_of_nested_rings,body,source_table,source_doi,interpretation
Hertzsprung,probable,571,1.92,230.94,408,2.22,231.13,256.0,2.0,231.22,108.0,2.04,231.22,Hertzsprung,571,"[108.0, 256.0, 408.0, 571.0]","[2.37037, 1.59375, 1.39951]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Humboldtianum,possible,618,57.27,82.01,463,57.3,83.0,322.0,57.75,82.84,197.0,57.8,82.71,Humboldtianum,618,"[197.0, 322.0, 463.0, 618.0]","[1.634518, 1.437888, 1.334773]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Mendel-Rydberg,certain,650,-49.53,266.08,485,-49.67,265.56,325.0,-49.69,265.47,203.0,-49.91,265.67,Mendel-Rydberg,650,"[203.0, 325.0, 485.0, 650.0]","[1.600985, 1.492308, 1.340206]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Coulomb-Sarton,possible,672,51.26,236.93,401,51.2,236.99,315.0,51.24,237.48,158.0,51.16,237.41,Coulomb-Sarton,672,"[158.0, 315.0, 401.0, 672.0]","[1.993671, 1.273016, 1.67581]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Humorum,probable,816,-23.69,320.86,569,-23.89,320.74,441.0,-24.28,320.62,322.0,-23.92,320.67,Humorum,816,"[322.0, 441.0, 569.0, 816.0]","[1.369565, 1.290249, 1.434095]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Smythii,possible,878,-2.51,86.92,484,-1.92,87.25,,,,375.0,-1.71,87.36,Smythii,878,"[375.0, 484.0, 878.0]","[1.290667, 1.81405]",3,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Nectaris,certain,885,-15.61,35.13,623,-15.39,34.39,440.0,-15.44,34.33,270.0,-15.43,34.01,Nectaris,885,"[270.0, 440.0, 623.0, 885.0]","[1.62963, 1.415909, 1.420546]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Serenitatis,possible,923,26.46,19.24,661,26.48,18.85,416.0,25.19,18.81,,,,Serenitatis,923,"[416.0, 661.0, 923.0]","[1.588942, 1.396369]",3,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Orientale,certain,937,-20.1,265.14,639,-19.44,265.32,481.0,-19.01,265.31,341.0,-19.01,265.54,Orientale,937,"[341.0, 481.0, 639.0, 937.0]","[1.410557, 1.328482, 1.466354]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Crisium,probable,1076,17.27,59.64,809,17.29,59.79,505.0,16.81,58.41,364.0,16.92,58.5,Crisium,1076,"[364.0, 505.0, 809.0, 1076.0]","[1.387363, 1.60198, 1.330037]",4,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
Imbrium,probable,1321,36.51,341.85,1012,37.87,340.74,676.0,37.26,341.34,,,,Imbrium,1321,"[676.0, 1012.0, 1321.0]","[1.497041, 1.305336]",3,Moon,"Neumann et al. (2015), supplementary Tables S2-S3",10.1126/sciadv.1500852,published lunar multiring geometry; confidence field must be retained
