name,lat,lon_e,diameter_km,body,catalogue_scope
Mead,12.485,57.215,270.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Isabella,-29.813,204.194,175.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Meitner,-55.623,321.601,149.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Klenova,78.086,104.488,141.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Baker,62.516,40.318,109.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Stanton,-23.262,199.264,107.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Cleopatra,65.815,7.077,105.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Rosa  Bonheur,9.733,288.784,104.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Cochran,51.856,143.364,100.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Sayers,-67.502,229.802,98.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Maria Celeste,23.393,140.38,97.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Potanina,31.625,53.087,94.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Greenaway,22.898,145.059,93.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bonnevie,-36.13,127.039,92.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Joliot-Curie,-1.582,62.402,91.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Addams,-56.202,98.94,87.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Sanger,33.772,288.563,83.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Stowe,-43.198,233.17,80.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Mona Lisa,25.614,25.148,79.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
O'Keeffe,24.512,228.776,76.9,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Barsova,61.346,222.972,76.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Graham,-6.0,6.0,75.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Wheatley,16.617,268.033,74.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Markham,-4.133,155.596,71.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Boulanger,-26.631,99.25,71.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
