candidate_id,structure_id,is_representative
arc_0373,structure_0001,1
arc_0306,structure_0002,1
arc_0992,structure_0003,1
arc_0593,structure_0004,1
arc_1007,structure_0005,1
arc_0371,structure_0006,1
arc_0341,structure_0007,1
arc_0424,structure_0008,1
arc_0370,structure_0009,1
arc_1103,structure_0010,1
arc_1250,structure_0011,1
arc_0235,structure_0012,1
arc_1214,structure_0013,1
arc_0522,structure_0014,1
arc_0037,structure_0015,1
arc_0308,structure_0016,1
arc_1031,structure_0017,1
arc_0404,structure_0018,1
arc_0752,structure_0019,1
arc_0605,structure_0020,1
arc_0284,structure_0021,1
arc_1039,structure_0022,1
arc_1088,structure_0023,1
arc_0859,structure_0024,1
arc_1234,structure_0025,1
arc_0756,structure_0026,1
arc_0274,structure_0027,1
arc_0437,structure_0028,1
arc_1108,structure_0029,1
arc_0982,structure_0030,1
arc_0304,structure_0031,1
arc_0421,structure_0032,1
arc_0753,structure_0033,1
arc_0506,structure_0034,1
arc_1121,structure_0035,1
arc_0720,structure_0036,1
arc_0210,structure_0037,1
arc_1092,structure_0038,1
arc_1081,structure_0039,1
arc_0145,structure_0040,1
arc_0795,structure_0041,1
arc_0445,structure_0042,1
arc_0687,structure_0043,1
arc_0769,structure_0044,1
arc_0761,structure_0045,1
arc_0281,structure_0046,1
arc_0480,structure_0047,1
arc_0981,structure_0048,1
arc_0472,structure_0049,1
arc_0278,structure_0050,1
arc_0351,structure_0051,1
arc_0674,structure_0052,1
arc_0767,structure_0053,1
arc_0443,structure_0054,1
arc_0155,structure_0055,1
arc_0440,structure_0056,1
arc_0215,structure_0057,1
arc_0650,structure_0058,1
arc_0275,structure_0058,0
arc_0276,structure_0058,0
arc_0790,structure_0059,1
arc_0394,structure_0060,1
arc_0027,structure_0061,1
arc_0783,structure_0062,1
arc_0428,structure_0063,1
arc_0654,structure_0064,1
arc_1126,structure_0065,1
arc_1105,structure_0066,1
arc_1095,structure_0067,1
arc_0513,structure_0068,1
arc_1235,structure_0069,1
arc_0847,structure_0070,1
arc_0136,structure_0071,1
arc_0166,structure_0072,1
arc_1093,structure_0073,1
arc_0002,structure_0074,1
arc_0584,structure_0075,1
arc_0442,structure_0076,1
arc_1206,structure_0077,1
arc_0697,structure_0078,1
arc_1174,structure_0079,1
arc_1253,structure_0080,1
arc_0799,structure_0081,1
arc_0788,structure_0082,1
arc_1091,structure_0083,1
arc_0828,structure_0084,1
arc_0343,structure_0085,1
arc_0719,structure_0086,1
arc_1030,structure_0087,1
arc_0899,structure_0088,1
arc_0896,structure_0088,0
arc_0209,structure_0089,1
arc_1166,structure_0090,1
arc_0801,structure_0091,1
arc_0544,structure_0092,1
arc_0444,structure_0093,1
arc_0466,structure_0094,1
arc_1171,structure_0095,1
arc_0216,structure_0096,1
arc_0646,structure_0097,1
arc_0433,structure_0098,1
arc_0779,structure_0099,1
arc_0279,structure_0100,1
arc_0655,structure_0101,1
arc_0469,structure_0102,1
arc_0265,structure_0103,1
arc_0785,structure_0104,1
arc_1035,structure_0105,1
arc_0680,structure_0106,1
arc_0164,structure_0107,1
arc_0282,structure_0108,1
arc_0763,structure_0109,1
