replicate,fault_intersection_fraction,median_log1p_fault_proximity_ratio
1,0.125,2.389469665388887
2,0.15625,2.038892049375353
3,0.09375,2.2588674174197196
4,0.21875,2.001268019337843
5,0.1875,1.9066893676365662
6,0.21875,1.978976014913953
7,0.125,1.9864207664618538
8,0.09375,2.219405516874546
9,0.125,1.7762284546226443
10,0.15625,1.8177856512250206
11,0.21875,1.3694068601860434
12,0.125,1.6038994155299449
13,0.21875,1.8461163670525784
14,0.0625,2.288514224194386
15,0.1875,1.1097651599777736
16,0.1875,2.243071593998013
17,0.15625,1.9221417717987659
18,0.15625,2.0019350604577415
19,0.09375,2.3270570437005498
20,0.1875,2.109061983920045
21,0.1875,1.5979422316298093
22,0.09375,2.06866136080647
23,0.0625,2.3162239153943087
24,0.28125,1.6554192586985534
25,0.1875,2.0125074238195007
26,0.09375,2.3114778851088564
27,0.0625,2.0351405475268427
28,0.125,2.1307929648333923
29,0.25,2.297852459166009
30,0.1875,2.1997522214532363
31,0.125,1.9505743885198343
32,0.15625,1.7053881419580923
33,0.125,2.1134554912650962
34,0.21875,2.6763864224691005
35,0.0625,1.617886093467984
36,0.1875,1.7911784839128295
37,0.21875,2.0393363722102382
38,0.15625,2.3070942750292085
39,0.125,2.0576131230613957
40,0.09375,1.3922205114425252
41,0.15625,1.8879678591984352
42,0.1875,1.6927607104197406
43,0.125,1.8094514587002128
44,0.0625,1.9393285311363422
45,0.125,2.19481222793787
46,0.28125,2.0346092472297888
47,0.03125,2.3629132686173104
48,0.28125,1.4048949712360321
49,0.1875,1.8244170120448426
50,0.0625,2.118359615396913
51,0.15625,1.760631343252459
52,0.25,1.6299393118844727
53,0.125,2.2225974303095066
54,0.1875,1.9485263973546179
55,0.15625,1.7401482041197571
56,0.09375,1.9257498375908977
57,0.15625,1.8441721088931355
58,0.09375,2.417470997854096
59,0.1875,2.073626752597565
60,0.1875,1.9338209717332067
61,0.1875,1.456495408433378
62,0.21875,2.0324065972266596
63,0.25,1.5107454379256677
64,0.21875,1.9046122428060177
65,0.0625,1.6373404577734303
66,0.15625,1.886576164016803
67,0.15625,2.3963697312284973
68,0.25,1.903452779209685
69,0.1875,2.1553665616888162
70,0.1875,1.5066575806984326
71,0.3125,2.2523000256979593
72,0.1875,1.9201811147552141
73,0.21875,1.8710207026597838
74,0.1875,1.8836880843647577
75,0.15625,2.1730036727173268
76,0.25,1.6480394643845213
77,0.03125,2.2772574595951927
78,0.28125,1.5475149402282498
79,0.0625,2.235336872444266
80,0.1875,1.7194895637924041
81,0.1875,2.141469971907516
82,0.09375,1.9491790566981297
83,0.1875,1.918410754795862
84,0.15625,2.141757909403532
85,0.125,2.179941137526822
86,0.1875,1.8483828861994636
87,0.34375,1.1729553220437707
88,0.03125,2.223105340940389
89,0.03125,2.3223548411551267
90,0.1875,2.242763285375478
91,0.0625,2.1145570061875256
92,0.15625,2.143970730638328
93,0.125,1.9949778948267527
94,0.21875,1.6018568958436292
95,0.15625,2.268765422092515
96,0.125,2.0283070711884394
97,0.15625,1.3941847493098471
98,0.09375,2.276694760003001
99,0.25,2.3909756377395963
100,0.09375,2.068105925551122
101,0.1875,1.9948348799144804
102,0.125,1.9847774347854967
103,0.21875,2.126016525269247
104,0.0625,2.0764639529090356
105,0.125,2.174972803488597
106,0.21875,2.136136628091889
107,0.15625,2.0443105262832866
108,0.15625,1.9327981275822568
109,0.0625,2.259285618513236
110,0.15625,2.0993507924372388
111,0.0625,2.419844329261025
112,0.15625,2.250844533303237
113,0.0625,2.378524881294852
114,0.15625,1.8245362381697112
115,0.15625,2.074726558572909
116,0.21875,1.5512991304423371
117,0.1875,2.0632209498429996
118,0.09375,2.2110587609037466
119,0.15625,1.9973606700974331
120,0.09375,2.0706690931124148
121,0.3125,1.522654827153524
122,0.25,1.7426654877254042
123,0.0625,1.8579637756532552
124,0.15625,2.552239516443308
125,0.1875,1.8836880843647577
126,0.15625,2.2151889251000503
127,0.1875,2.100100219563161
128,0.25,2.2447003689916345
129,0.25,1.7748779349254034
130,0.0625,2.0839876492354903
131,0.125,2.023775268893277
132,0.25,1.8645778116307992
133,0.125,1.885890734367887
134,0.1875,1.6709770757286533
135,0.1875,1.6542240539085564
136,0.09375,2.0845145470620707
137,0.15625,2.2550346692800405
138,0.21875,2.029694183157077
139,0.25,2.0834579887288336
140,0.1875,2.317391858931674
141,0.09375,2.0478898978769893
142,0.15625,1.885407825837642
143,0.21875,1.3454993704537452
144,0.0625,1.7748779349254034
145,0.15625,1.8493699832003565
146,0.125,2.126809095046008
147,0.125,2.10482734454361
148,0.28125,1.9772229002435782
149,0.21875,1.8461163670525784
150,0.21875,1.9859396645391745
151,0.15625,2.2577006482531576
152,0.15625,2.22209841731625
153,0.15625,2.4381086177700357
154,0.1875,1.8688180526566547
155,0.1875,2.636279026990512
156,0.21875,1.886576164016803
157,0.1875,2.2539248799300253
158,0.0625,2.1518635771958605
159,0.15625,2.036905333605077
160,0.125,1.9539448742625516
161,0.125,1.643464434709333
162,0.0625,2.036686372060337
163,0.15625,1.8377821745277707
164,0.15625,1.7735437901078759
165,0.15625,1.854861735825117
166,0.15625,1.5179713116423192
167,0.125,1.7702179311030264
168,0.125,2.4021018577622026
169,0.03125,2.2305764451907875
170,0.09375,2.310272204007685
171,0.09375,2.2429989858896406
172,0.09375,2.2643981658274095
173,0.125,1.7937423287668852
174,0.125,1.8159911938858917
175,0.15625,1.8981503240122433
176,0.125,2.3007432883719723
177,0.1875,2.021440754935118
178,0.21875,2.19481222793787
179,0.15625,2.4771066472234233
180,0.125,1.9600361409060016
181,0.21875,2.080890744816712
182,0.15625,2.482250794139146
183,0.15625,1.7980078072124623
184,0.25,1.6174372556751782
185,0.09375,2.2539288006915807
186,0.1875,2.197337134494367
187,0.03125,2.159018431494634
188,0.15625,2.030713844355634
189,0.125,2.5518977211570144
190,0.15625,1.9423942211984802
191,0.125,1.8891733563895297
192,0.15625,1.8836880843647577
193,0.125,2.311820843069946
194,0.1875,1.9052976724549338
195,0.25,1.9112286661851003
196,0.1875,1.8263670048544496
197,0.15625,2.1148372820371124
198,0.21875,1.8461163670525784
199,0.1875,2.3290970171518834
200,0.21875,1.5686093001286507
201,0.28125,1.4473089076383536
202,0.15625,2.03789193871747
203,0.15625,2.154686238087656
204,0.15625,2.163488508464164
205,0.21875,2.041245690980701
206,0.09375,2.2305764451907875
207,0.15625,1.9257909976261822
208,0.125,2.346722083298908
209,0.09375,1.8900449840289837
210,0.1875,2.2383962141637728
211,0.1875,2.207373261942021
212,0.25,1.33982149570613
213,0.125,2.0305630280517213
214,0.1875,2.155314069730727
215,0.1875,2.0399117105739095
216,0.1875,1.9329390663708148
217,0.125,2.174972803488597
218,0.21875,1.9086800440363878
219,0.25,2.245317234609299
220,0.09375,2.211869725065479
221,0.21875,2.2563022962907118
222,0.09375,1.9973606700974331
223,0.15625,1.701688537396938
224,0.125,1.9874896193779779
225,0.28125,1.3358733388757842
226,0.0625,2.1244669886196412
227,0.1875,2.082508347516771
228,0.21875,1.414138429594413
229,0.21875,1.8238069714936564
