structure_review_rank,structure_id,representative_candidate_id,representative_name,lon,lat,radius_km,diameter_km,member_count,member_candidate_ids,radius_min_km,radius_max_km,followup_score,review_tier,domain,geology_independence,geology_boundary_coincidence,geology_nearby_types,tid_artifact_risk,active_fault_coverage,nearest_active_fault_km,nearest_active_fault_name,nearest_active_fault_slip_type,fault_length_within_radius_km,fault_intersects_candidate,fault_search_degrees,active_fault_proximity_ratio,fault_control_flag
1,structure_0001,arc_0373,#362,-10.04817725956292,59.22698400843728,33.59853959513626,67.19707919027252,1,arc_0373,33.59853959513626,33.59853959513626,0.8947487411290895,C_morphology,ocean,1.0,0.0,,0.0030992577524577,1,709.7629223986179,,Sinistral_Transform,0.0,0,10,21.1248146779976,no_mapped_active_fault_within_radius
2,structure_0002,arc_0306,#308,8.712642616555229,18.77283818191428,14.303364379426512,28.606728758853023,1,arc_0306,14.303364379426512,14.303364379426512,0.8650939259654475,C_morphology,land,1.0,0.0,,0.0,1,1367.852687017399,Western Fault Zone,Normal,0.0,0,20,95.63153470276357,no_mapped_active_fault_within_radius
3,structure_0003,arc_0992,#991,-69.45542188846204,-46.3173611354684,10.000496722751604,20.00099344550321,1,arc_0992,10.000496722751604,10.000496722751604,0.8500600935980319,C_morphology,land,1.0,0.0,,0.0,1,488.1637650775564,,Subduction_Thrust,0.0,0,2,48.81395180770978,no_mapped_active_fault_within_radius
4,structure_0004,arc_0593,#579,-163.21620793710272,64.93493001950446,38.83102420539483,77.66204841078967,1,arc_0593,38.83102420539483,38.83102420539483,0.8382882342718209,A_cross_layer,land,1.0,0.0,,0.0910031079322383,1,25.28993098793565,,Normal,54.21656027720646,1,2,0.6512815849040133,intersects_active_fault
5,structure_0005,arc_1007,#1006,-69.45287807102301,-43.04437465520966,13.68633353552695,27.3726670710539,1,arc_1007,13.68633353552695,13.68633353552695,0.8184804777121826,C_morphology,land,1.0,0.0,,0.0,1,495.5159998681374,,Subduction_Thrust,0.0,0,2,36.20516762812175,no_mapped_active_fault_within_radius
6,structure_0006,arc_0371,#359,-10.301209360348139,56.471477129112166,19.948460200687993,39.896920401375986,1,arc_0371,19.948460200687993,19.948460200687993,0.8152731983636461,A_cross_layer,ocean,1.0,0.0,,0.0,1,959.346061717355,,Sinistral_Transform,0.0,0,10,48.09123371257841,no_mapped_active_fault_within_radius
7,structure_0007,arc_0341,#327,-2.746074149098348,57.22292188800545,8.698226149637247,17.396452299274493,1,arc_0341,8.698226149637247,8.698226149637247,0.8148767815230662,A_cross_layer,land,1.0,0.0,,0.0,1,771.017822210387,,Normal,0.0,0,10,88.64081123512082,no_mapped_active_fault_within_radius
8,structure_0008,arc_0424,#418,10.943592249950797,39.1200244502714,15.828963060182078,31.657926120364156,1,arc_0424,15.828963060182078,15.828963060182078,0.813895716131641,C_morphology,ocean,1.0,0.0,,0.0,1,10.215616374355735,,Subduction_Thrust,24.157853651567684,1,2,0.6453749582657896,intersects_active_fault
9,structure_0009,arc_0370,#299,-11.119938024701696,57.431545892668886,30.105635942928647,60.21127188585729,1,arc_0370,30.105635942928647,30.105635942928647,0.8107907340327524,A_cross_layer,ocean,1.0,0.0,,0.1510796495540423,1,841.53710995514,,Sinistral_Transform,0.0,0,10,27.952809618452992,no_mapped_active_fault_within_radius
10,structure_0010,arc_1103,#1099,-22.2614796882807,56.103943921022136,38.12417248246347,76.24834496492694,1,arc_1103,38.12417248246347,38.12417248246347,0.8090550556572494,A_cross_layer,ocean,0.8078711815428803,0.1921288184571197,oceanic crust;passive margin,0.1503434238302024,1,599.9863855947647,,Spreading_Ridge,0.0,0,10,15.737689411376708,no_mapped_active_fault_within_radius
11,structure_0011,arc_1250,#1247,-80.1454400907921,17.367701628386968,63.04326754370639,126.08653508741278,1,arc_1250,63.04326754370639,63.04326754370639,0.8089099828805993,C_morphology,ocean,1.0,0.0,oceanic back-arc basin;ophiolite complex,0.2816184729462979,1,77.34945586950437,Walton Fault Zone,Sinistral_Transform,0.0,0,2,1.2269265043389421,no_mapped_active_fault_within_radius
12,structure_0012,arc_0235,#235,-121.50620942410877,43.25163658103335,18.13704075564432,36.27408151128864,1,arc_0235,18.13704075564432,18.13704075564432,0.8071366684281834,C_morphology,land,0.7999313220300854,0.2000686779699145,volcanic arc;wide rift,0.0,1,18.70938676440984,Chemult graben fault system (east),Normal,0.0,0,2,1.0315567471274167,no_mapped_active_fault_within_radius
13,structure_0013,arc_1214,#1214,178.52377783324613,-22.033375398675577,67.36578087807152,134.73156175614304,1,arc_1214,67.36578087807152,67.36578087807152,0.8040393140766958,A_cross_layer,ocean,1.0,0.0,,0.1880289108034164,1,266.6932985277756,,Spreading_Ridge,0.0,0,5,3.95888379903851,no_mapped_active_fault_within_radius
14,structure_0014,arc_0522,#517,172.53415996633584,64.89129388081356,142.70936369892848,285.41872739785697,1,arc_0522,142.70936369892848,142.70936369892848,0.8035934962964545,A_cross_layer,land,0.9565592587035452,0.0434407412964547,orogenic belt;volcanic arc,0.0,1,139.62119297593466,,Dextral,69.57384436488724,1,2,0.9783604197864068,intersects_active_fault
15,structure_0015,arc_0037,#013,23.27613624325525,-25.611038226231305,38.41503466804887,76.83006933609774,1,arc_0037,38.41503466804887,38.41503466804887,0.8024859147939911,C_morphology,land,1.0,0.0,,0.0,1,651.4169704938138,,Normal,0.0,0,10,16.957344334654998,no_mapped_active_fault_within_radius
16,structure_0016,arc_0308,#317,9.098837353204345,18.9295984968038,10.00033060996499,20.00066121992998,1,arc_0308,10.00033060996499,10.00033060996499,0.8017539988823941,C_morphology,land,1.0,0.0,,0.0,1,1332.5610366123585,Western Fault Zone,Normal,0.0,0,20,133.25169822730726,no_mapped_active_fault_within_radius
17,structure_0017,arc_1031,#1030,-65.34539600812307,-37.24096402574239,12.305752907293575,24.61150581458715,1,arc_1031,12.305752907293575,12.305752907293575,0.8015618718561752,C_morphology,land,1.0,0.0,,0.0,1,782.4193636178132,,Subduction_Thrust,0.0,0,2,63.58159224488216,no_mapped_active_fault_within_radius
18,structure_0018,arc_0404,#398,-41.89770903396979,-11.177486899568022,57.9263040355521,115.8526080711042,1,arc_0404,57.9263040355521,57.9263040355521,0.8009896701927551,A_cross_layer,land,1.0,0.0,,0.0,1,1873.5936773236224,,Spreading_Ridge,0.0,0,20,32.34443675491034,no_mapped_active_fault_within_radius
19,structure_0019,arc_0752,#737,160.91267383246316,22.64266814993074,186.59895828076816,373.1979165615363,1,arc_0752,186.59895828076816,186.59895828076816,0.8001151154040556,A_cross_layer,ocean,1.0,0.0,,0.2190179483842549,1,1432.6152481884524,,Subduction_Thrust,0.0,0,20,7.677509356900333,no_mapped_active_fault_within_radius
20,structure_0020,arc_0605,#592,-153.36086735654683,64.19981714167872,22.450636839373328,44.901273678746655,1,arc_0605,22.450636839373328,22.450636839373328,0.7997283841480101,A_cross_layer,land,1.0,0.0,accretionary complex;passive margin,0.0,1,76.41139855887899,,Strike-Slip,0.0,0,2,3.403529223049509,no_mapped_active_fault_within_radius
21,structure_0021,arc_0284,#283,-46.56070695267641,-21.907005077503783,16.324484039404123,32.648968078808245,1,arc_0284,16.324484039404123,16.324484039404123,0.797286418059036,C_morphology,land,1.0,0.0,,0.0,1,1695.935311768737,Ibibobo,Reverse,0.0,0,20,103.88906060829117,no_mapped_active_fault_within_radius
22,structure_0022,arc_1039,#1038,45.212420580242195,-10.130693405046094,276.0311447516247,552.0622895032494,1,arc_1039,276.0311447516247,276.0311447516247,0.7892425874371749,B_gravity_supported,ocean,0.9292157723563924,0.0707842276436075,oceanic crust,0.2961074538209319,1,356.82854099454494,,,0.0,0,5,1.2927111587919633,no_mapped_active_fault_within_radius
23,structure_0023,arc_1088,#1086,101.64635137157296,58.35396299967667,73.60332663800926,147.20665327601853,1,arc_1088,73.60332663800926,73.60332663800926,0.7887634961415881,A_cross_layer,land,1.0,0.0,,0.0,1,579.5846900279203,Central Sayan Fault,Sinistral,0.0,0,5,7.874436068336872,no_mapped_active_fault_within_radius
24,structure_0024,arc_0859,#857,105.40394354507305,16.62786480388618,45.421877480588805,90.84375496117761,1,arc_0859,45.421877480588805,45.421877480588805,0.7872615299730322,C_morphology,land,1.0,0.0,orogenic belt;volcanic arc,0.0,1,90.67567972863444,,Dextral,0.0,0,2,1.9962996854849295,no_mapped_active_fault_within_radius
25,structure_0025,arc_1234,#1234,-58.30364097335723,-8.508975093534417,12.338761264091884,24.67752252818377,1,arc_1234,12.338761264091884,12.338761264091884,0.7871870444672135,C_morphology,land,1.0,0.0,,0.0,1,1167.6001027588968,Rio Seco,Reverse,0.0,0,10,94.62863230499748,no_mapped_active_fault_within_radius
26,structure_0026,arc_0756,#750,166.95238308822462,13.430230366329187,264.04363924249213,528.0872784849843,1,arc_0756,264.04363924249213,264.04363924249213,0.7864889086950692,B_gravity_supported,ocean,1.0,0.0,,0.2009075599969836,1,2088.694959625974,,Subduction_Thrust,0.0,0,20,7.910415738921704,no_mapped_active_fault_within_radius
